t NoGP OffGP ET TT 
2.0000000000 0.3238784996 0.2303995264 0.2122501519 0.2115078381 
2.0100000000 0.3221294032 0.2267154142 0.2075678405 0.2068963907 
2.0200000000 0.3205077709 0.2231449182 0.2029608920 0.2023494351 
2.0300000000 0.3190016603 0.2196932718 0.1984172430 0.1978637813 
2.0400000000 0.3176134390 0.2163591941 0.1939251608 0.1934656936 
2.0500000000 0.3163351372 0.2131390900 0.1895111625 0.1891200222 
2.0600000000 0.3151502450 0.2100277751 0.1851486430 0.1848377255 
2.0700000000 0.3140723334 0.2070293305 0.1808487133 0.1806075547 
2.0800000000 0.3130771773 0.2041226127 0.1766238128 0.1764402034 
2.0900000000 0.3121655691 0.2013205469 0.1724610755 0.1723406239 
2.1000000000 0.3113380251 0.1986511867 0.1683601963 0.1683034942 
2.1100000000 0.3105782913 0.1960873127 0.1643306388 0.1643283905 
2.1200000000 0.3098897246 0.1936090588 0.1603626398 0.1604334919 
2.1300000000 0.3092661023 0.1912484282 0.1564902538 0.1565924612 
2.1400000000 0.3086990033 0.1889726407 0.1527094928 0.1527785401 
2.1500000000 0.3081826776 0.1868135249 0.1489808215 0.1490544978 
2.1600000000 0.3077172408 0.1847506036 0.1453431701 0.1453739532 
2.1700000000 0.3072920897 0.1827637545 0.1417256501 0.1417828998 
2.1800000000 0.3069032222 0.1808873477 0.1381986637 0.1382643375 
2.1900000000 0.3065512278 0.1791035478 0.1347521151 0.1347816599 
2.2000000000 0.3062334512 0.1774059620 0.1313351504 0.1313714595 
2.2100000000 0.3059402758 0.1757927477 0.1279983980 0.1280295421 
2.2200000000 0.3056678996 0.1742638300 0.1247198803 0.1247153832 
2.2300000000 0.3054146142 0.1728129917 0.1215146173 0.1214843427 
2.2400000000 0.3051827974 0.1714409841 0.1183740575 0.1183098295 
2.2500000000 0.3049597755 0.1701417638 0.1153067326 0.1152180473 
2.2600000000 0.3047470423 0.1689158265 0.1122971233 0.1121764332 
2.2700000000 0.3045417354 0.1677602134 0.1093429172 0.1091989844 
2.2800000000 0.3043420897 0.1666692244 0.1064702221 0.1062958899 
2.2900000000 0.3041420741 0.1656503046 0.1036466374 0.1034505913 
2.3000000000 0.3039509343 0.1646908743 0.1008723923 0.1006609891 
2.3100000000 0.3037543161 0.1637910341 0.0981553160 0.0979576816 
2.3200000000 0.3035536820 0.1629625211 0.0954877616 0.0953045413 
2.3300000000 0.3033399387 0.1621780386 0.0929012462 0.0927259349 
2.3400000000 0.3031238218 0.1614562697 0.0903931832 0.0902043092 
2.3500000000 0.3028985906 0.1607770339 0.0879349527 0.0877620122 
2.3600000000 0.3026625978 0.1601548187 0.0855382266 0.0853523918 
2.3700000000 0.3024142805 0.1595807269 0.0831915176 0.0829934914 
2.3800000000 0.3021573767 0.1590455223 0.0809013610 0.0807140861 
2.3900000000 0.3018828334 0.1585573543 0.0786556667 0.0784909766 
2.4000000000 0.3015921708 0.1581106826 0.0764636011 0.0763471239 
2.4100000000 0.3012931743 0.1577051023 0.0743588821 0.0742488695 
2.4200000000 0.3009729810 0.1573389156 0.0723124199 0.0721813606 
2.4300000000 0.3006392185 0.1570090283 0.0703198776 0.0701961781 
2.4400000000 0.3002836076 0.1567117641 0.0684091639 0.0682656763 
2.4500000000 0.2999075250 0.1564452903 0.0665610570 0.0663977647 
2.4600000000 0.2995095592 0.1562092019 0.0647667894 0.0646115152 
2.4700000000 0.2990955038 0.1560001861 0.0630310798 0.0628841891 
2.4800000000 0.2986612959 0.1558165734 0.0613788093 0.0612398094 
