t q1 q2 q3 q4 q5 
34.2000000000 0.0012774307 0.0040048498 0.0065731747 0.0147520833 0.0219832557 
34.5000000000 0.0013567528 0.0042580446 0.0069290460 0.0151758783 0.0230768381 
34.8000000000 0.0014237726 0.0044840750 0.0073061483 0.0158115621 0.0241770403 
35.1000000000 0.0015352152 0.0047392065 0.0076868174 0.0167074853 0.0251295178 
35.4000000000 0.0016124051 0.0049656478 0.0079659121 0.0175048809 0.0259480421 
35.7000000000 0.0016951048 0.0050987390 0.0082115979 0.0179807726 0.0265616885 
36.0000000000 0.0017335259 0.0052325988 0.0083914825 0.0182409826 0.0267986308 
36.3000000000 0.0017275665 0.0052997306 0.0085020448 0.0182795148 0.0266788306 
36.6000000000 0.0017465987 0.0053066452 0.0085488250 0.0180419228 0.0265406051 
36.9000000000 0.0017334560 0.0052753047 0.0085702840 0.0176986322 0.0261219991 
37.2000000000 0.0017059593 0.0052043119 0.0085313360 0.0173207078 0.0254493206 
37.5000000000 0.0017465386 0.0051642895 0.0084758883 0.0170234650 0.0250466820 
37.8000000000 0.0017308397 0.0051070834 0.0085044095 0.0168983127 0.0250024867 
38.1000000000 0.0018114496 0.0052574864 0.0087541847 0.0169645329 0.0249134560 
38.4000000000 0.0019615453 0.0054680495 0.0091527433 0.0172104457 0.0256815627 
38.7000000000 0.0021188753 0.0058161535 0.0096547975 0.0173849194 0.0255895590 
39.0000000000 0.0023279843 0.0063019184 0.0103875392 0.0177790497 0.0264836366 
39.3000000000 0.0025175626 0.0068581989 0.0112297421 0.0188158717 0.0272692942 
39.6000000000 0.0027109144 0.0074718124 0.0120190874 0.0206381537 0.0297592917 
39.9000000000 0.0028894313 0.0079866425 0.0128859308 0.0229676832 0.0326216485 
40.2000000000 0.0030818536 0.0084734323 0.0135882604 0.0253134001 0.0364177634 
40.5000000000 0.0032005164 0.0089475521 0.0142441203 0.0275612585 0.0395198967 
40.8000000000 0.0032653286 0.0093311872 0.0148563255 0.0296490832 0.0425804114 
41.1000000000 0.0032891230 0.0097037834 0.0153776383 0.0313145800 0.0454671227 
41.4000000000 0.0032889134 0.0099053551 0.0157703255 0.0327193790 0.0478632773 
41.7000000000 0.0032463759 0.0099939106 0.0160227324 0.0339108630 0.0498982462 
42.0000000000 0.0031822199 0.0100051213 0.0161350008 0.0344956952 0.0508741961 
42.3000000000 0.0031345675 0.0099171597 0.0161189602 0.0347239055 0.0512642676 
42.6000000000 0.0030778774 0.0097201653 0.0159066412 0.0345700443 0.0510242252 
42.9000000000 0.0029483321 0.0094484491 0.0154682308 0.0339766744 0.0503168319 
43.2000000000 0.0027675316 0.0090637190 0.0147471611 0.0329954679 0.0492849879 
43.5000000000 0.0025584529 0.0085660288 0.0139397231 0.0314815535 0.0473698009 
43.8000000000 0.0024164639 0.0079862515 0.0130323178 0.0294292225 0.0446100592 
44.1000000000 0.0022964255 0.0075523041 0.0122739006 0.0271190467 0.0416813213 
44.4000000000 0.0022021053 0.0072197408 0.0117452162 0.0255276692 0.0385954859 
44.7000000000 0.0021112426 0.0068718171 0.0112946086 0.0243115561 0.0368848501 
45.0000000000 0.0020155684 0.0065389176 0.0108432707 0.0234240894 0.0348786999 
45.3000000000 0.0019234911 0.0062823793 0.0103145529 0.0226761627 0.0338521606 
45.6000000000 0.0018379260 0.0058836681 0.0097854214 0.0220705647 0.0328431301 
45.9000000000 0.0017059762 0.0056517958 0.0092694035 0.0210800272 0.0317524588 
