t y 
38.5700000000 0.0000000000 
38.8200000000 0.0000000000 
39.0700000000 0.0000000000 
39.3200000000 0.0000000000 
39.5600000000 0.0000000000 
39.8000000000 0.0000000000 
40.0500000000 0.0000000000 
40.3000000000 0.0000000000 
40.5600000000 0.0000000000 
40.8300000000 0.0000000000 
41.1100000000 0.0000000000 
41.4100000000 0.0000000000 
41.7400000000 0.0000000000 
42.1100000000 0.0000000000 
42.5300000000 0.0000000000 
43.0000000000 0.0000000000 
43.4700000000 0.0000000000 
43.9000000000 0.0000000000 
44.2800000000 0.0000000000 
44.6300000000 0.0000000000 
44.9600000000 0.0000000000 
45.2800000000 0.0000000000 
45.5900000000 0.0000000000 
45.9000000000 0.0000000000 
46.2200000000 0.0000000000 
46.5400000000 0.0000000000 
46.8700000000 0.0000000000 
47.2100000000 0.0000000000 
47.5600000000 0.0000000000 
47.9100000000 0.0000000000 
48.2600000000 0.0000000000 
48.6100000000 0.0000000000 
48.9600000000 0.0000000000 
49.3100000000 0.0000000000 
49.6700000000 0.0000000000 
50.0400000000 0.0000000000 
50.4400000000 0.0000000000 
50.8700000000 0.0000000000 
51.3600000000 0.0000000000 
51.9400000000 0.0000000000 
52.5600000000 0.0000000000 
53.1000000000 0.0000000000 
53.5600000000 0.0000000000 
53.9500000000 0.0000000000 
54.3000000000 0.0000000000 
54.6200000000 0.0000000000 
54.9200000000 0.0000000000 
55.2100000000 0.0000000000 
55.4900000000 0.0000000000 
55.7600000000 0.0000000000 
56.0300000000 0.0000000000 
56.3000000000 0.0000000000 
56.5700000000 0.0000000000 
56.8500000000 0.0000000000 
57.1400000000 0.0000000000 
57.4400000000 0.0000000000 
57.7600000000 0.0000000000 
58.1100000000 0.0000000000 
58.5100000000 0.0000000000 
58.9700000000 0.0000000000 
59.4800000000 0.0000000000 
59.9700000000 0.0000000000 
60.3800000000 0.0000000000 
60.7300000000 0.0000000000 
61.0400000000 0.0000000000 
61.3200000000 0.0000000000 
61.5800000000 0.0000000000 
61.8300000000 0.0000000000 
62.0700000000 0.0000000000 
62.3000000000 0.0000000000 
62.5300000000 0.0000000000 
62.7600000000 0.0000000000 
62.9900000000 0.0000000000 
63.2300000000 0.0000000000 
63.4800000000 0.0000000000 
63.7400000000 0.0000000000 
64.0200000000 0.0000000000 
64.3300000000 0.0000000000 
64.6700000000 0.0000000000 
65.0500000000 0.0000000000 
65.4600000000 0.0000000000 
65.8700000000 0.0000000000 
66.2500000000 0.0000000000 
66.5900000000 0.0000000000 
66.9000000000 0.0000000000 
67.1900000000 0.0000000000 
67.4600000000 0.0000000000 
67.7200000000 0.0000000000 
67.9800000000 0.0000000000 
68.2300000000 0.0000000000 
68.4900000000 0.0000000000 
68.7500000000 0.0000000000 
69.0200000000 0.0000000000 
69.3000000000 0.0000000000 
69.6000000000 0.0000000000 
69.9300000000 0.0000000000 
